epoch,train_loss,train_dice_wt,train_dice_tc,train_dice_ET,train_dice_NETC,train_dice_SNFH,train_dice_RC,val_loss,val_dice_wt,val_dice_tc,val_dice_ET,val_dice_NETC,val_dice_SNFH,val_dice_RC,lr
1,2.1227,0.0973,0.0888,0.0026,0.1191,0.0127,0.0066,1.6242,0.1032,0.0985,0.0015,0.1409,0.011,0.0102,0.001
2,1.4739,0.1549,0.1396,0.0042,0.1737,0.0265,0.0121,1.3554,0.1609,0.141,0.0034,0.1703,0.0293,0.0218,0.001
3,1.3035,0.2301,0.2048,0.0085,0.232,0.0472,0.0269,1.1955,0.2393,0.2079,0.0079,0.2286,0.0607,0.0497,0.001
4,1.2175,0.3045,0.2751,0.0125,0.3008,0.0703,0.0433,1.1457,0.3368,0.2981,0.0117,0.3136,0.0751,0.0772,0.001
5,1.1696,0.3478,0.3159,0.0157,0.3316,0.0845,0.0569,1.1182,0.3536,0.3104,0.0126,0.3256,0.0749,0.094,0.001
6,1.1296,0.3935,0.3597,0.0179,0.374,0.0978,0.0755,1.1914,0.3077,0.2564,0.0178,0.2632,0.0931,0.0831,0.001
7,1.1099,0.4189,0.3818,0.0219,0.3916,0.111,0.0798,1.1575,0.3607,0.3175,0.016,0.3221,0.086,0.1233,0.001
8,1.0859,0.4477,0.4095,0.0223,0.418,0.1181,0.0967,1.1287,0.3925,0.3397,0.0217,0.3381,0.1127,0.0995,0.001
9,1.0768,0.4558,0.4139,0.0237,0.4197,0.1302,0.1064,1.3516,0.2913,0.228,0.0238,0.2159,0.1178,0.1529,0.001
10,1.0509,0.4842,0.441,0.0264,0.4456,0.1405,0.1231,1.174,0.3487,0.2798,0.0248,0.2683,0.1163,0.1071,0.001
11,1.0351,0.4919,0.4481,0.0279,0.4541,0.1541,0.1295,1.2093,0.3518,0.3114,0.0248,0.3094,0.1035,0.1076,0.001
12,1.0227,0.5058,0.4599,0.0299,0.4651,0.1611,0.1391,1.1085,0.4352,0.3782,0.028,0.3724,0.1371,0.1396,0.001
13,1.0066,0.517,0.4684,0.0317,0.4728,0.1818,0.1463,1.0633,0.466,0.4052,0.033,0.3969,0.1546,0.1679,0.001
14,0.9864,0.5383,0.4898,0.0336,0.4934,0.1966,0.1677,1.3474,0.3582,0.2807,0.032,0.271,0.1755,0.1432,0.001
15,0.9826,0.5428,0.4921,0.0316,0.4948,0.2201,0.1656,1.1847,0.408,0.3299,0.0323,0.3166,0.1867,0.1864,0.001
